Gross weight of truck,Leg Distance,Load of leg (lbs),Leg Unloading Hrs
13225.56196,33.34592263,5275.304203,0.734454545
16473.01893,107.1127265,5796.55869,0.757616162
16473.01893,83.17889388,4431.319,0.696939394
16473.01893,176.3903473,5065.905933,0.725141414
11642.53976,111.9296447,6975.794,0.810030303
11642.53976,196.2565457,5845.981071,0.759818182
5169.903453,123.7824385,2584.951726,0.614878788
7361.559488,18.34310278,2249.064277,0.599949495
7361.559488,33.29595886,3862.052611,0.671646465
7361.559488,86.53448406,1250.4426,0.555565657
10493.41543,83.14178231,3051.168683,0.635606061
10493.41543,14.53945852,3365.006464,0.649555556
5285.049051,73.00072524,3763.4025,0.667252525
5285.049051,106.2824568,2233.880368,0.599282828
20031.11608,49.5774755,12276.5,1.045616162
20031.11608,9.887806161,5070.32182,0.725343434
20031.11608,93.14006579,3229.117403,0.643515152
8299.439223,54.69350168,4525.498679,0.701131313
8299.439223,112.8794409,3229.117403,0.643515152
16006.24138,77.66356478,3239.354766,0.643969697
16006.24138,67.67642741,5981.295956,0.765828283
16006.24138,43.17275093,6785.59066,0.801575758
10603.22934,96.81133363,6542.516481,0.790777778
10603.22934,101.5849794,4060.712857,0.680474747
9554.822793,27.12908959,2283.543167,0.601484848
9554.822793,4.536471408,3635.639813,0.661575758
5130,318.0430841,675,0.53
5130,146.8043115,3900,0.673333333
5130,77.59432723,555,0.524666667
6713.674131,127.0149922,1780.524913,0.579131313
6713.674131,7.417798119,348.55,0.515484848
6713.674131,196.6639318,5626.516,0.750060606
11827.58267,135.1832974,4584.599218,0.703757576
11827.58267,105.2001273,6201.066667,0.77559596
11133.92329,13.71415295,3601.92815,0.660080808
11133.92329,45.79738571,3083.922714,0.637060606
11133.92329,91.84366759,4448.072425,0.697686869
12280.52224,28.27103132,3635.639813,0.661575758
12280.52224,48.31768106,1373.6028,0.561040404
7271.279626,28.27103132,3635.639813,0.661575758
3985.800565,62.70706856,1081.194565,0.548050505
3985.800565,247.341172,2904.606,0.629090909
6619.556297,208.6000563,2132.80275,0.594787879
6619.556297,166.0691008,4486.753547,0.69940404
21263.53294,18.34310278,4498.128554,0.699909091
21263.53294,93.40534621,5080.3495,0.725787879
21263.53294,35.28889882,11685.05489,1.019333333
6266.349618,160.9679563,1998.461893,0.588818182
6266.349618,25.88890078,4267.887725,0.689676768
4026.124483,62.70706856,540.5972826,0.524020202
